epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.0098,0.66666,0.78768,1,0.62715,0.000332516,0.000332516,0.0670809
2,30.2958,0.50746,0.84461,1,0.44877,0.000659258,0.000659258,0.0340743
3,43.7861,0.45528,0.85643,1,0.394,0.000979399,0.000979399,0.0010611
4,57.2011,0.41514,0.85929,1,0.396,0.0009703,0.0009703,0.0009703
5,70.8189,0.36814,0.87719,1,0.34643,0.0009604,0.0009604,0.0009604
6,84.2153,0.35596,0.87719,1,0.34676,0.0009505,0.0009505,0.0009505
7,97.7552,0.31491,0.88077,1,0.34691,0.0009406,0.0009406,0.0009406
8,111.559,0.30772,0.8933,1,0.30314,0.0009307,0.0009307,0.0009307
9,125.062,0.29238,0.89116,1,0.30636,0.0009208,0.0009208,0.0009208
10,138.657,0.27375,0.89509,1,0.30303,0.0009109,0.0009109,0.0009109
11,152.066,0.27189,0.90655,1,0.273,0.000901,0.000901,0.000901
12,165.372,0.25922,0.89259,1,0.31789,0.0008911,0.0008911,0.0008911
13,178.876,0.23714,0.90082,1,0.2897,0.0008812,0.0008812,0.0008812
14,192.231,0.21989,0.89545,1,0.31265,0.0008713,0.0008713,0.0008713
15,205.783,0.21002,0.90584,1,0.29755,0.0008614,0.0008614,0.0008614
16,219.359,0.21107,0.90548,1,0.30029,0.0008515,0.0008515,0.0008515
17,232.917,0.2017,0.90369,1,0.30649,0.0008416,0.0008416,0.0008416
18,246.403,0.19786,0.89975,1,0.32399,0.0008317,0.0008317,0.0008317
19,259.884,0.19329,0.91049,1,0.30069,0.0008218,0.0008218,0.0008218
20,273.36,0.17753,0.89796,1,0.30851,0.0008119,0.0008119,0.0008119
21,286.919,0.18247,0.90763,1,0.31079,0.000802,0.000802,0.000802
22,300.269,0.16693,0.90619,1,0.29345,0.0007921,0.0007921,0.0007921
23,313.716,0.16138,0.90118,1,0.30904,0.0007822,0.0007822,0.0007822
24,327.25,0.16254,0.91658,1,0.28399,0.0007723,0.0007723,0.0007723
25,340.644,0.1538,0.91586,1,0.29137,0.0007624,0.0007624,0.0007624
26,354.065,0.15543,0.91013,1,0.28014,0.0007525,0.0007525,0.0007525
27,367.812,0.14879,0.90476,1,0.3031,0.0007426,0.0007426,0.0007426
28,381.27,0.13688,0.91228,1,0.3027,0.0007327,0.0007327,0.0007327
29,394.734,0.14442,0.91192,1,0.29808,0.0007228,0.0007228,0.0007228
30,408.269,0.13074,0.91479,1,0.29341,0.0007129,0.0007129,0.0007129
31,421.768,0.12934,0.91658,1,0.30374,0.000703,0.000703,0.000703
32,435.186,0.12543,0.90834,1,0.336,0.0006931,0.0006931,0.0006931
33,448.547,0.12508,0.91944,1,0.32062,0.0006832,0.0006832,0.0006832
34,462.097,0.11732,0.91085,1,0.31649,0.0006733,0.0006733,0.0006733
35,475.446,0.12045,0.92159,1,0.29738,0.0006634,0.0006634,0.0006634
36,488.898,0.11166,0.91729,1,0.30842,0.0006535,0.0006535,0.0006535
37,502.228,0.11814,0.91586,1,0.30409,0.0006436,0.0006436,0.0006436
38,515.804,0.1067,0.91801,1,0.31165,0.0006337,0.0006337,0.0006337
39,529.602,0.11334,0.92159,1,0.30729,0.0006238,0.0006238,0.0006238
40,543.296,0.10743,0.92016,1,0.29973,0.0006139,0.0006139,0.0006139
41,556.776,0.09897,0.92231,1,0.31576,0.000604,0.000604,0.000604
42,570.321,0.10234,0.92016,1,0.31671,0.0005941,0.0005941,0.0005941
43,583.667,0.09215,0.92123,1,0.32244,0.0005842,0.0005842,0.0005842
44,597.065,0.0949,0.91944,1,0.31603,0.0005743,0.0005743,0.0005743
45,610.756,0.09247,0.92123,1,0.31698,0.0005644,0.0005644,0.0005644
46,624.271,0.08656,0.91873,1,0.32765,0.0005545,0.0005545,0.0005545
47,637.61,0.08452,0.91908,1,0.3233,0.0005446,0.0005446,0.0005446
48,651.169,0.08536,0.9198,1,0.33567,0.0005347,0.0005347,0.0005347
49,664.578,0.07803,0.91944,1,0.33733,0.0005248,0.0005248,0.0005248
50,678.21,0.08188,0.92123,1,0.33636,0.0005149,0.0005149,0.0005149
51,691.694,0.07822,0.92624,1,0.32086,0.000505,0.000505,0.000505
52,705.37,0.08092,0.9241,1,0.32316,0.0004951,0.0004951,0.0004951
53,718.927,0.07942,0.92481,1,0.32785,0.0004852,0.0004852,0.0004852
54,732.215,0.0757,0.92481,1,0.34085,0.0004753,0.0004753,0.0004753
55,745.656,0.06983,0.92553,1,0.34096,0.0004654,0.0004654,0.0004654
56,758.979,0.07049,0.92517,1,0.33414,0.0004555,0.0004555,0.0004555
57,772.441,0.07788,0.92553,1,0.33395,0.0004456,0.0004456,0.0004456
58,785.964,0.06983,0.92696,1,0.33034,0.0004357,0.0004357,0.0004357
59,799.493,0.07345,0.92517,1,0.3296,0.0004258,0.0004258,0.0004258
60,813.181,0.06456,0.92589,1,0.33167,0.0004159,0.0004159,0.0004159
61,826.635,0.06794,0.9266,1,0.3332,0.000406,0.000406,0.000406
62,840.199,0.05845,0.9266,1,0.3389,0.0003961,0.0003961,0.0003961
63,853.523,0.05893,0.92589,1,0.34284,0.0003862,0.0003862,0.0003862
64,866.96,0.06494,0.9266,1,0.3406,0.0003763,0.0003763,0.0003763
65,880.25,0.06194,0.92624,1,0.33962,0.0003664,0.0003664,0.0003664
66,893.587,0.06239,0.92732,1,0.33745,0.0003565,0.0003565,0.0003565
67,907.135,0.05635,0.92839,1,0.33943,0.0003466,0.0003466,0.0003466
68,920.471,0.05714,0.92911,1,0.33637,0.0003367,0.0003367,0.0003367
69,933.921,0.0523,0.92947,1,0.33513,0.0003268,0.0003268,0.0003268
70,947.282,0.04788,0.92982,1,0.33936,0.0003169,0.0003169,0.0003169
71,960.544,0.0515,0.93018,1,0.34626,0.000307,0.000307,0.000307
72,973.954,0.04949,0.92875,1,0.3447,0.0002971,0.0002971,0.0002971
73,987.157,0.04632,0.92875,1,0.34689,0.0002872,0.0002872,0.0002872
74,1000.5,0.04926,0.92947,1,0.34929,0.0002773,0.0002773,0.0002773
75,1013.83,0.05142,0.92768,1,0.35623,0.0002674,0.0002674,0.0002674
76,1027.17,0.04568,0.92696,1,0.35476,0.0002575,0.0002575,0.0002575
77,1040.53,0.04825,0.92696,1,0.35406,0.0002476,0.0002476,0.0002476
78,1053.71,0.04665,0.92732,1,0.35713,0.0002377,0.0002377,0.0002377
79,1067.04,0.0429,0.92696,1,0.35599,0.0002278,0.0002278,0.0002278
80,1080.47,0.04308,0.92624,1,0.35966,0.0002179,0.0002179,0.0002179
81,1093.82,0.04027,0.92732,1,0.3563,0.000208,0.000208,0.000208
82,1107.02,0.04057,0.92803,1,0.35953,0.0001981,0.0001981,0.0001981
83,1120.37,0.03726,0.92768,1,0.36089,0.0001882,0.0001882,0.0001882
84,1133.79,0.03544,0.92803,1,0.35859,0.0001783,0.0001783,0.0001783
85,1147.04,0.03579,0.92911,1,0.35963,0.0001684,0.0001684,0.0001684
86,1160.45,0.03369,0.93018,1,0.35968,0.0001585,0.0001585,0.0001585
87,1173.67,0.03568,0.9309,1,0.35998,0.0001486,0.0001486,0.0001486
88,1187.04,0.03488,0.93126,1,0.36161,0.0001387,0.0001387,0.0001387
